name	type	in	out	params
model.2	C2f	-	-	29056
model.2.cv1	Conv	64	64	4224
model.2.cv2	Conv	96	64	6272
model.2.m.0.cv1	Conv	32	32	9280
model.2.m.0.cv2	Conv	32	32	9280
model.4	C2f	-	-	197632
model.4.cv1	Conv	128	128	16640
model.4.cv2	Conv	256	128	33024
model.4.m.0.cv1	Conv	64	64	36992
model.4.m.0.cv2	Conv	64	64	36992
model.4.m.1.cv1	Conv	64	64	36992
model.4.m.1.cv2	Conv	64	64	36992
model.6	C2f	-	-	788480
model.6.cv1	Conv	256	256	66048
model.6.cv2	Conv	512	256	131584
model.6.m.0.cv1	Conv	128	128	147712
model.6.m.0.cv2	Conv	128	128	147712
model.6.m.1.cv1	Conv	128	128	147712
model.6.m.1.cv2	Conv	128	128	147712
model.8	C2f	-	-	1838080
model.8.cv1	Conv	512	512	263168
model.8.cv2	Conv	768	512	394240
model.8.m.0.cv1	Conv	256	256	590336
model.8.m.0.cv2	Conv	256	256	590336
model.12	C2f	-	-	591360
model.12.cv1	Conv	768	256	197120
model.12.cv2	Conv	384	256	98816
model.12.m.0.cv1	Conv	128	128	147712
model.12.m.0.cv2	Conv	128	128	147712
model.15	C2f	-	-	148224
model.15.cv1	Conv	384	128	49408
model.15.cv2	Conv	192	128	24832
model.15.m.0.cv1	Conv	64	64	36992
model.15.m.0.cv2	Conv	64	64	36992
model.18	C2f	-	-	493056
model.18.cv1	Conv	384	256	98816
model.18.cv2	Conv	384	256	98816
model.18.m.0.cv1	Conv	128	128	147712
model.18.m.0.cv2	Conv	128	128	147712
model.21	C2f	-	-	1969152
model.21.cv1	Conv	768	512	394240
model.21.cv2	Conv	768	512	394240
model.21.m.0.cv1	Conv	256	256	590336
model.21.m.0.cv2	Conv	256	256	590336
model.22.cv2.0.0	Conv	128	64	73856
model.22.cv2.0.1	Conv	64	64	36992
model.22.cv2.1.0	Conv	256	64	147584
model.22.cv2.1.1	Conv	64	64	36992
model.22.cv2.2.0	Conv	512	64	295040
model.22.cv2.2.1	Conv	64	64	36992
model.22.cv3.0.0	Conv	128	128	147712
model.22.cv3.0.1	Conv	128	128	147712
model.22.cv3.1.0	Conv	256	128	295168
model.22.cv3.1.1	Conv	128	128	147712
model.22.cv3.2.0	Conv	512	128	590080
model.22.cv3.2.1	Conv	128	128	147712
model.22.dfl	DFL	16	1	16
